"Code","Title","Certification","Delivery type","Level","Audience","Product line","Product Category","Languages available","Icon"
"SC-OTC-001","Omnicast™ Administrator Certification Training","Yes","Instructor-led","Fundamentals","Administrator","Omnicast","Video management","English, French","omnicast.svg"
"SC-OTC-002","Omnicast™ Advanced Administrator Certification Training","Yes","Instructor-led","Advanced","Administrator","Omnicast","Video management","English, French","omnicast.svg"
"SC-OOT-001","Omnicast™ Operator Training","No","Self-paced","Fundamentals","Operator","Omnicast","Video management","English, French","omnicast.svg"
"SC-STC-001","Synergis™ Administrator Certification Training","Yes","Instructor-led & Self-paced","Fundamentals","Administrator","Synergis","Access control","English, French","synergis.svg"
"SC-STC-002","Synergis™ Advanced Administrator Certification Training","Yes","Instructor-led","Advanced","Administrator","Synergis","Access control","English, French","synergis.svg"
"SC-SOT-001","Synergis™ Operator Training","No","Self-paced","Fundamentals","Operator","Synergis","Access control","English, French","synergis.svg"
"SC-SaaS-Bridge","Security Center SaaS Bridge Administrator Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center SaaS","physical security as a service","English, French","security-center-saas.svg"
"SC-SaaSUnified-001","Security Center SaaS Unified Administrator Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center SaaS","physical security as a service","English, French","security-center-saas.svg"
"SC-SaaSVMS-001","Security Center SaaS VMS Administrator Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center SaaS","physical security as a service","English, French","security-center-saas.svg"
"SC-SaaSACS-001","Security Center SaaS ACS Administrator Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center SaaS","physical security as a service","English, French","security-center-saas.svg"
"SC-SaaSOperator ","Security Center SaaS Operator Training  ","No","Self-paced","Fundamentals","Operator","Security Center SaaS","physical security as a service","English, French","security-center-saas.svg"
"SC-PUT-001","Security Center™ Power User Training","No","Self-paced","Fundamentals","Power user","Security Center","unified security platform","English, French","security-center.svg"
"SC-ETC-001","Security Center™ Enterprise Certification Training","Yes","Instructor-led","Advanced","Administrator","Security Center","unified security platform","English, French","security-center.svg"
"SC-CIDO-001	","Genetec ClearID™ Operator Training","No","Self-paced","Fundamentals","Administrator","Security Center","Access control","English, French","security-center.svg"
"SC-CID-001	","Genetec ClearID™ Administrator Certification Training","Yes","Instructor-led","Advanced","Administrator","Security Center","Access control","English, French","security-center.svg"
"SC-SIP-001","Sipelia™ Administrator Training","No","Instructor-led","Fundamentals","Administrator","Sipelia","communications management","English, French","sipelia.svg"
"SC-SIPO-001","Sipelia™ Operator Training","No","Self-paced","Fundamentals","Operator","Sipelia","communications management","English, French","sipelia.svg"
"SC-RSA-001","Genetec™ Restricted Security Area Surveillance Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center","Access control","English, French","security-center.svg"
"SC-IIoT-001","Genetec™ Industrial IoT Training","No","Self-paced","Fundamentals","Administrator","Security Center","unified security platform","English, French","security-center.svg"
"SC-SVA","KiwiVision™ Video Analytics Certification Training","Yes","Self-paced","Fundamentals","Administrator","KiwiVision","Video management","English, French, Spanish","kiwivision.svg"
"SC-CIM","KiwiVision™ Camera Integrity Monitor Training","No","Self-paced","Fundamentals","Administrator","KiwiVision","Video management","English, French, Spanish","kiwivision.svg"
"SC-PC","KiwiVision™ People Counter Certification Training","Yes","Self-paced","Fundamentals","Administrator","KiwiVision","Video management","English, French, Spanish","kiwivision.svg"
"SC-PRIV","KiwiVision™ Privacy Protector Certification Training","Yes","Self-paced","Fundamentals","Administrator","KiwiVision","Video management","English, French, Spanish","kiwivision.svg"
"SC-COT-001","Genetec Clearance™ Operator Training","No","Self-paced","Fundamentals","Operator","Clearance","digital evidence management","English, French, Spanish","clearance.svg"
"SC-CAT-001","Genetec Clearance™ Administrator Training","No","Self-paced","Fundamentals","Administrator","Clearance","digital evidence management","English, French, Spanish","clearance.svg"
"SC-AFC-001","AutoVu SharpV Administrator Certification Training","Yes","Instructor-led","Fundamentals","Administrator","AutoVu","Automatic license plate recognition","English, French, Spanish","autovu.svg"
"SC-AFS-001","AutoVu SharpV Bridge Administrator Certification Training","Yes","Self-paced","Fundamentals","Administrator","AutoVu","Automatic license plate recognition","English, French, Spanish","autovu.svg"
"AU-FOT-001","AutoVu SharpV Operator Training","No","Self-paced","Fundamentals","Operator","AutoVu","Automatic license plate recognition","English, French, Spanish","autovu.svg"
"SC-AMP-001","AutoVu SharpZ3 Certification Training","Yes","Instructor-led","Fundamentals","Administrator","AutoVu","Automatic license plate recognition","English, French, Spanish","autovu.svg"
"AU-AMO-001","AutoVu Mobile Operator Training","No","Self-paced","Fundamentals","Operator","AutoVu","Automatic license plate recognition","English, French, Spanish","autovu.svg"
"SC-SHC-001","Security Center™ System Hardening Certification Training","Yes","Self-paced","Fundamentals","Administrator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"SC-CAP-001","Security Center™ CAPSS Certification Training","Yes","Self-paced","Advanced","Administrator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"SC-SUM-001","Security Center™ System Upgrade and Migration Certification Training","Yes","Instructor-led","Advanced","Administrator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"MC-ACT-001","Genetec Mission Control™ Administrator Certification Training","Yes","Instructor-led","Fundamentals","Administrator","Mission Control","Collaborative decision management","English, French, Spanish","mission-control.svg"
"MC-OPT-001","Genetec Mission Control™ Operator Training","No","Instructor-led & Self-paced","Fundamentals","Operator","Mission Control","Collaborative decision management","English, French, Spanish","mission-control.svg"
"SC-EVA-001","Synergis™ Evacuation Assistant Administrator Training","No","Self-paced","Fundamentals","Administrator","Synergis","evacuation management","English, French, Spanish","synergis.svg"
"SC-OEV-001","Synergis™ Evacuation Assistant Operator Training","No","Self-paced","Fundamentals","Operator","Synergis","evacuation management","English, French, Spanish","synergis.svg"
"SC-INT-001","Intrusion Detection in Security Center™ Administrator Training","No","Self-paced","Fundamentals","Administrator","Security Center","Access control","English, French, Spanish","security-center.svg"
"SC-IDO-001","Intrusion Detection in Security Center™ Operator Training","No","Self-paced","Fundamentals","Operator","Security Center","Access control","English, French, Spanish","security-center.svg"
"SC-PM-001","Maps in Security Center™ Administrator Training","No","Self-paced","Fundamentals","Administrator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"SC-PMO-001","Maps in Security Center™ Operator Training","No","Self-paced","Fundamentals","Operator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"SC-WCM-001"," Wearable Camera Manager in Security Center™ Training","No","Self-paced","Fundamentals","Administrator","Security Center","unified security platform","English, French, Spanish","security-center.svg"
"SC-MOT-001","
Security Center Mobile operator training","No","Self-paced","Fundamentals","Operator","","","English, French, Spanish",""
"43","","","","","","","","",""
